gender;category;event;pool;total_results;ponderated best;best results
M;M40;200SL;50;8; 2'38"94;2'21"80;2'30"50;2'33"90;2'35"10;2'46"70;2'48"50
M;M45;200SL;50;8; 2'32"90;2'24"20;2'25"70;2'25"90;2'33"80;2'38"40;2'40"70
M;M50;200SL;50;7; 2'48"22;2'34"10;2'37"80;2'38"20;2'49"10;2'51"40;3'04"60
M;OVER;200SL;50;7; 3'04"12;2'57"30;2'58"50;2'59"60;3'02"60;3'03"40;3'16"50
M;SEN;400SL;50;23; 5'03"24;4'30"80;4'37"90;5'01"30;5'05"10;5'15"70;5'16"20
M;M20;400SL;50;21; 4'53"16;4'41"70;4'45"20;4'47"70;4'52"80;4'58"30;5'01"80
M;M25;400SL;50;18; 5'02"40;4'48"90;4'49"50;4'54"30;5'00"90;5'08"80;5'18"50
M;M30;400SL;50;21; 4'55"30;4'45"80;4'47"60;4'49"40;4'56"60;4'57"90;5'05"00
M;M35;400SL;50;23; 5'17"32;4'57"10;5'14"30;5'16"50;5'16"80;5'17"40;5'21"60
M;M40;400SL;50;25; 5'27"04;4'58"10;5'16"00;5'22"20;5'28"00;5'30"20;5'38"80
M;M45;400SL;50;15; 5'15"64;5'08"90;5'09"60;5'16"50;5'17"00;5'17"20;5'17"90
M;M50;400SL;50;12; 5'43"06;5'15"80;5'16"30;5'29"90;5'53"80;5'55"70;5'59"60
M;OVER;400SL;50;11; 6'11"80;5'55"90;5'58"70;6'05"50;6'15"40;6'18"00;6'21"40
M;M20;800SL;50;14;10'48"82;10'04"00;10'22"30;10'46"20;10'55"10;11'00"20;11'00"30
M;M25;800SL;50;6;11'49"90;10'23"20;10'58"00;11'00"60;12'16"10;12'17"00;12'37"80
M;M30;800SL;50;16;10'36"74;10'20"10;10'22"90;10'26"70;10'27"80;10'41"40;11'04"90
M;M35;800SL;50;5;12'03"88;11'34"10;12'01"90;12'02"80;12'16"60;12'24"00
M;M40;800SL;50;12;11'36"60;10'35"40;11'07"90;11'09"00;11'41"00;11'52"70;12'12"40
M;M45;800SL;50;7;11'58"04;11'00"00;11'14"40;11'22"10;11'27"20;12'00"60;13'45"90
M;M50;800SL;50;4;13'13"82;11'53"90;12'48"00;13'07"90;15'05"50
M;OVER;800SL;50;4;14'29"50;13'00"30;13'32"10;14'09"80;17'15"80
M;SEN;50FA;50;23; 0'29"60;27"30;28"20;28"60;30"20;30"30;30"70
M;M20;50FA;50;49; 0'28"26;27"10;27"70;28"00;28"40;28"50;28"70
M;M25;50FA;50;31; 0'29"64;28"60;29"10;29"20;29"90;29"90;30"10
M;M30;50FA;50;31; 0'30"06;29"30;29"60;29"70;30"20;30"30;30"50
